instrument,instrumentLabel,image
http://www.wikidata.org/entity/Q745769,sipsi,http://commons.wikimedia.org/wiki/Special:FilePath/Sipsi.jpg
http://www.wikidata.org/entity/Q748420,colascione,http://commons.wikimedia.org/wiki/Special:FilePath/Colascione.jpg
http://www.wikidata.org/entity/Q751884,vihuela,http://commons.wikimedia.org/wiki/Special:FilePath/Vihuela1954Text2.jpg
http://www.wikidata.org/entity/Q766461,crwth,http://commons.wikimedia.org/wiki/Special:FilePath/Crwth%20rem.jpg
http://www.wikidata.org/entity/Q775570,cowbell,http://commons.wikimedia.org/wiki/Special:FilePath/Koebel.jpg
http://www.wikidata.org/entity/Q787557,saxhorn,http://commons.wikimedia.org/wiki/Special:FilePath/Saxhornbasse.jpg
http://www.wikidata.org/entity/Q789141,balafon,http://commons.wikimedia.org/wiki/Special:FilePath/Balafon%20%28Aly%20Keita%29%20Unterfahrt%202010-03-11-001.jpg
http://www.wikidata.org/entity/Q790312,barbiton,http://commons.wikimedia.org/wiki/Special:FilePath/Barbitos%2C%20Nordisk%20familjebok.png
http://www.wikidata.org/entity/Q810515,basset horn,http://commons.wikimedia.org/wiki/Special:FilePath/Schwenk%2BSeggelke%20Bassetthorn-mue.jpg
http://www.wikidata.org/entity/Q829729,biwa,http://commons.wikimedia.org/wiki/Special:FilePath/Biwa.png
http://www.wikidata.org/entity/Q830863,violino piccolo,http://commons.wikimedia.org/wiki/Special:FilePath/Klein%20Diskant-Geige%20und%20Viola-Tenor-1594.jpg
http://www.wikidata.org/entity/Q840920,theorbo,http://commons.wikimedia.org/wiki/Special:FilePath/Barocktheorbe%20Martin%20Hoffmann%20ed.JPG
http://www.wikidata.org/entity/Q845193,xylorimba,http://commons.wikimedia.org/wiki/Special:FilePath/Xylorimba%20%28from%20Emil%20Richards%20Collection%29.jpg
http://www.wikidata.org/entity/Q849349,tom-tom drum,http://commons.wikimedia.org/wiki/Special:FilePath/Tom-tom%2012x8.jpg
http://www.wikidata.org/entity/Q850118,claves,http://commons.wikimedia.org/wiki/Special:FilePath/Playingclaves.jpg
